HGNC ID	Approved symbol	Alias symbols	UniProt ID(supplied by UniProt)	OMIM ID(supplied by OMIM)	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)
HGNC:13167	ZNF91L					
HGNC:13168	ZNF92	HPF12, TF12	Q03936	603974	168374	ENSG00000146757
HGNC:13169	ZNF93	HPF34, TF34, FLJ12488	P35789	603975	81931	ENSG00000184635
HGNC:1317	GCFC2	DNABF, GCF	P16383	189901	6936	ENSG00000005436
HGNC:13170	ZNF94	F11465				
HGNC:13171	ZNF95					
HGNC:13172	ZSCAN12	KIAA0426, ZNF29K1, ZFP96, dJ29K1.2	O43309	603978	9753	ENSG00000158691
HGNC:13173	ZNF97					
HGNC:13174	ZNF98	ZNF739, F7175	A6NK75	603980	148198	ENSG00000197360
HGNC:13175	ZNF99	MGC24986	A8MXY4	603981	7652	ENSG00000213973
HGNC:13176	IKZF1	hIk-1, LyF-1, Hs.54452, IKAROS, PPP1R92	Q13422	603023	10320	ENSG00000185811
HGNC:13177	IKZF2	Helios	Q9UKS7	606234	22807	ENSG00000030419
HGNC:13178	IKZF3	Aiolos	Q9UKT9	606221	22806	ENSG00000161405
HGNC:13179	IKZF4	Eos	Q9H2S9	606239	64375	ENSG00000123411
HGNC:1318	C3	CPAMD1, ARMD9, C3a, C3b	P01024	120700	718	ENSG00000125730
HGNC:13180	ZFYVE1	DFCP1, KIAA1589, TAFF1, PPP1R172	Q9HBF4	605471	53349	ENSG00000165861
HGNC:13181	ZNFP1					
HGNC:13182	POLR1H	hZR14, HTEX-6, tctex-6, RPA12, A12.2	Q9P1U0	607525	30834	ENSG00000066379
HGNC:13183	ZNT1					
HGNC:13184	ZNT2					
HGNC:13185	ZNT3					
HGNC:13186	ZNT4					
HGNC:13187	ZP1		P60852	195000	22917	ENSG00000149506
HGNC:13188	ZP2	ZPA	Q05996	182888	7783	ENSG00000103310
HGNC:13189	ZP3	ZP3-424, ZP3-372, ZPC	P21754	182889	7784	ENSG00000188372
HGNC:1319	C3AR1	C3AR, AZ3B	Q16581	605246	719	ENSG00000171860
HGNC:13190	ZP3B					
HGNC:13191	ZPK					
HGNC:13192	DNAJC2	MPP11, MPHOSPH11, ZUO1, zuotin	Q99543	605502	27000	ENSG00000105821
HGNC:13193	ZRK					
HGNC:13194	ZW10	KNTC1AP	O43264	603954	9183	ENSG00000086827
HGNC:13195	ZWINT	KNTC2AP, SIP30, Zwint1	O95229	609177	11130	ENSG00000122952
HGNC:13196	ZWINTAS	MPP5, MPHOSPH5, NCRNA00018				
HGNC:13197	ZWS1					
HGNC:13198	ZXDA	ZNF896	P98168	300235	7789	ENSG00000198205
HGNC:13199	ZXDB	ZNF905	P98169	300236	158586	ENSG00000198455
HGNC:132	ACTB		P60709	102630	60	ENSG00000075624
HGNC:1320	C3CER1	CER1			23739	
HGNC:13200	ZYX		Q15942	602002	7791	ENSG00000159840
HGNC:13201	ADAMTS10	ADAM-TS10	Q9H324	608990	81794	ENSG00000142303
HGNC:13202	ADAMTS9	KIAA1312	Q9P2N4	605421	56999	ENSG00000163638
HGNC:13203	AICDA	HIGM2, CDA2, ARP2, AID	Q9GZX7	605257	57379	ENSG00000111732
HGNC:13204	ALS2CR1	CALS-7				
HGNC:13205	STRADB	CALS-21, PAPK, ILPIPA, ILPIP	Q9C0K7	607333	55437	ENSG00000082146
HGNC:13206	TRAK2	CALS-C, KIAA0549, GRIF-1, OIP98, MILT2	O60296	607334	66008	ENSG00000115993
HGNC:13208	ANKRA2		Q9H9E1	605787	57763	ENSG00000164331
HGNC:13209	ARHGEF5	TIM, TIM1, GEF5, P60	Q12774	600888	7984	ENSG00000050327
HGNC:1321	TIMMDC1	FLJ22597	Q9NPL8	615534	51300	ENSG00000113845
HGNC:13210	ARL6	RP55	Q9H0F7	608845	84100	ENSG00000113966
HGNC:13211	ATP2C1	KIAA1347, ATP2C1A, PMR1, SPCA1	P98194	604384	27032	ENSG00000017260
HGNC:13213	ATP5MGL	dJ222E13.5	Q7Z4Y8		267020	ENSG00000249222
HGNC:13214	ATP5MGP1	ATPE5KP1			53411	ENSG00000256280
HGNC:13215	ATP5MGP2				53410	ENSG00000232362
HGNC:13216	ATP5MGP3				53409	ENSG00000249256
HGNC:13217	AUXN					
HGNC:1322	CLDND1	Z38	Q9NY35		56650	ENSG00000080822
HGNC:13220	BBS6					
HGNC:13221	BCL11A	BCL11A-XL, BCL11A-L, BCL11A-S, CTIP1, HBFQTL5, ZNF856	Q9H165	606557	53335	ENSG00000119866
HGNC:13222	BCL11B	CTIP-2, CTIP2, hRIT1-alpha	Q9C0K0	606558	64919	ENSG00000127152
HGNC:13223	BCMS	DLEU1				
HGNC:13224	BCMSUN	DLEU2				
HGNC:13225	DLEU2L				79469	ENSG00000116652
HGNC:13226	BHLHB1	RACK17, OLIG2				
HGNC:13228	BPESC1	NCRNA00187	Q9GZL8	618995	60467	ENSG00000232416
HGNC:13229	BTN2A3P	BTN2.3	Q96KV6	613592	54718	ENSG00000124549
HGNC:1323	C4A	CPAMD2, C4S, CO4, C4, C4A3, C4A2, C4A4, C4A6, C4B, RG	P0C0L4	120810	720	ENSG00000244731
HGNC:13230	C10orf1					
HGNC:13231	C11orf21		Q9P2W6	611033	29125	ENSG00000110665
HGNC:13232	RASSF8	HoJ-1	Q8NHQ8	608231	11228	ENSG00000123094
HGNC:13233	ANP32A	LANP, PP32, I1PP2A, PHAPI, MAPM, mapmodulin	P39687	600832	8125	ENSG00000140350
HGNC:13234	CDIP1	CDIP, LITAFL	Q9H305	610503	29965	ENSG00000089486
HGNC:13236	URI1	RMP, NNX3, FLJ10575, URI, PPP1R19	O94763	603494	8725	ENSG00000105176
HGNC:13237	TMEM59L	BSMAP	Q9UK28	617096	25789	ENSG00000105696
HGNC:13238	APMAP	BSCv	Q9HDC9	615884	57136	ENSG00000101474
HGNC:13239	EVA1C	B18, PRED34, B19	P58658		59271	ENSG00000166979
HGNC:1324	C4B	CPAMD3, C4F, CO4, C4B1, C4B3, CH	P0C0L5	120820	721	ENSG00000224389
HGNC:13240	LINC00229	dJ474I12.C22.2			414351	ENSG00000234300
HGNC:13241	RIBC2	DKFZp566F0546, FLJ25720	Q9H4K1		26150	ENSG00000128408
HGNC:13242	HHATL	KIAA1173, OACT3, MSTP002, MBOAT3	Q9HCP6	608116	57467	ENSG00000010282
HGNC:13243	LMBR1	ACHP, FLJ11665, ZRS	Q8WVP7	605522	64327	ENSG00000105983
HGNC:13244	NOM1	SGD1, PPP1R113	Q5C9Z4	611269	64434	ENSG00000146909
HGNC:13245	LINC00244				64433	ENSG00000279418
HGNC:13246	C9orf1					
HGNC:13247	FAM120A	KIAA0183, OSSA	Q9NZB2	612265	23196	ENSG00000048828
HGNC:13248	CALN1	CABP8	Q9BXU9	607176	83698	ENSG00000183166
HGNC:13249	CAPN12		Q6ZSI9	608839	147968	ENSG00000182472
HGNC:1325	C4BPA		P04003	120830	722	ENSG00000123838
HGNC:13251	CDH22	dJ998H6.1	Q9UJ99	609920	64405	ENSG00000149654
HGNC:13252	MCDC1					
HGNC:13253	CKLF	UCK-1, CKLF3, CKLF4, HSPC224, C32	Q9UBR5	616074	51192	ENSG00000217555
HGNC:13254	FTSJ1	JM23, CDLIV, SPB1, TRM7, TRMT7	Q9UET6	300499	24140	ENSG00000068438
HGNC:13257	CLEC4A	DCIR, DDB27, CD367	Q9UMR7	605306	50856	ENSG00000111729
HGNC:13258	CLEC4C	HECL, DLEC, BDCA2, CD303	Q8WTT0	606677	170482	ENSG00000198178
HGNC:1326	C4BPAP1				727859	ENSG00000224462
HGNC:13261	CST9	CLM, CTES7A	Q5W186	616543	128822	ENSG00000173335
HGNC:13262	PRAMEF13		Q5VWM6		400736	ENSG00000279169
HGNC:13265	CYP4F11		Q9HBI6	611517	57834	ENSG00000171903
HGNC:13266	DDX24		Q9GZR7	606181	57062	ENSG00000089737
HGNC:13267	DEXI	MYLE	O95424	617901	28955	ENSG00000182108
HGNC:13268	DFNA18					
HGNC:13269	DFNA22					
HGNC:1327	C4BPAP2				724	ENSG00000232621
HGNC:13270	DFNA25					
HGNC:13271	DFNB22					
HGNC:13273	DUOX2	P138-TOX, P138(TOX), THOX2, LNOX2	Q9NRD8	606759	50506	ENSG00000140279
HGNC:13274	DURS2					
HGNC:13275	ECE2	KIAA0604, MGC2408	P0DPD6	610145	9718	ENSG00000145194
HGNC:13276	EI24	PIG8, TP53I8, EPG4	O14681	605170	9538	ENSG00000149547
HGNC:13277	EIF3IP1	RG208K23			442720	ENSG00000237064
HGNC:13278	EPB41L4A	NBL4	Q9HCS5	612141	64097	ENSG00000129595
HGNC:1328	C4BPB		P20851	120831	725	ENSG00000123843
HGNC:13280	ERO1A	ERO1-alpha, Ero1alpha	Q96HE7	615435	30001	ENSG00000197930
HGNC:13281	ESPN		B1AK53	606351	83715	ENSG00000187017
HGNC:13282	FBLN4	UPH1				
HGNC:13285	FIGN		Q5HY92	605295	55137	ENSG00000182263
HGNC:13286	FIGNL1		Q6PIW4	615383	63979	ENSG00000132436
HGNC:13287	FIGNL2		A6NMB9		401720	ENSG00000261308
HGNC:13289	FOX#					
HGNC:1329	SLC30A9	HUEL, ZNT9, GAC63	Q6PML9	604604	10463	ENSG00000014824
HGNC:13291	GABARAPL2	GEF2, ATG8, GATE16, GATE-16, ATG8C	P60520	607452	11345	ENSG00000034713
HGNC:13292	GAGED4	XAGE3				
HGNC:13295	GJA11					
HGNC:13299	LGR4		Q9BXB1	606666	55366	ENSG00000205213
HGNC:133	POTEH	POTE22, CT104.7	Q6S545	608913	23784	ENSG00000198062
HGNC:1330	MYOZ2	CS-1, FATZ-2	Q9NPC6	605602	51778	ENSG00000172399
HGNC:13300	GPR61	BALGR	Q9BZJ8	606916	83873	ENSG00000156097
HGNC:13301	GPR62		Q9BZJ7	606917	118442	ENSG00000180929
HGNC:13302	GPR63	PSP24(beta), PSP24B	Q9BZJ6	606915	81491	ENSG00000112218
HGNC:13304	GPR70	TR1				
HGNC:13305	GPR71	TR2				
HGNC:13307	LPAR5	KPG_010, LPA5	Q9H1C0	606926	57121	ENSG00000184574
HGNC:13308	GPRC5B	RAIG-2	Q9NZH0	605948	51704	ENSG00000167191
HGNC:13309	GPRC5C	RAIG-3	Q9NQ84	605949	55890	ENSG00000170412
HGNC:1331	C5	CPAMD4, C5a, C5b	P01031	120900	727	ENSG00000106804
HGNC:13310	GPRC5D		Q9NZD1	607437	55507	ENSG00000111291
HGNC:13311	GSDMA	FLJ39120	Q96QA5	611218	284110	ENSG00000167914
HGNC:13312	GSTO1	GSTTLp28, P28	P78417	605482	9446	ENSG00000148834
HGNC:13314	HAOL					
HGNC:13315	HDAC8	RPD3, KDAC8	Q9BY41	300269	55869	ENSG00000147099
HGNC:13316	HMGB1P11				100419996	ENSG00000230547
HGNC:13317	HMGB1P12				100129723	ENSG00000223904
HGNC:13318	HMGB1P13				100129706	ENSG00000220557
HGNC:13319	HMGB1P8				692147	ENSG00000259699
HGNC:1332	OFD1P17	71-7A3, 71-7A5			23738	ENSG00000228212
HGNC:13320	HMGB1P9				654503	ENSG00000224159
HGNC:13321	HMGA1P1	HMGIYL1			203477	ENSG00000236683
HGNC:13322	HMGA1P2	HMGIYL2			171559	ENSG00000248641
HGNC:13323	HMGA1P3	HMGIYL3			144712	ENSG00000258011
HGNC:13324	INO80B	HMGIYL4, PAPA-1, hIes2, PAP-1BP, IES2	Q9C086	616456	83444	ENSG00000115274
HGNC:13326	HUNK		P57058	606532	30811	ENSG00000142149
HGNC:13328	IFIT5	RI58	Q13325	616135	24138	ENSG00000152778
HGNC:1333	FAM114A2	133K02	Q9NRY5		10827	ENSG00000055147
HGNC:13331	ILCF					
HGNC:13335	KCNQ1DN	BWRT, HSA404617	Q9H478	610980	55539	ENSG00000237941
HGNC:13339	KIF4A	KIF4-G1, KIF4, HSA271784, FLJ12530, FLJ12655, FLJ14204, FLJ20631, MRX100	O95239	300521	24137	ENSG00000090889
HGNC:1334	FAXDC2	FLJ13758	Q96IV6		10826	ENSG00000170271
HGNC:13340	KIF4CP	KIF4P1			347363	ENSG00000225025
HGNC:13342	KLRF1	CLEC5C, NKp80	Q9NZS2	605029	51348	ENSG00000150045
HGNC:13343	RTL6	dJ1033E15.2, DKFZp761O17121, Mart6, Mar6, SIRH3	Q6ICC9		84247	ENSG00000188636
HGNC:13345	LPIN1	KIAA0188	Q14693	605518	23175	ENSG00000134324
HGNC:13346	LSFC					
HGNC:13347	LXN		Q9BS40	609305	56925	ENSG00000079257
HGNC:13348	LY6D	E48	Q14210	606204	8581	ENSG00000167656
HGNC:13349	LYST2					
HGNC:1335	FAM13B	N61, KHCHP, ARHGAP49	Q9NYF5	609371	51306	ENSG00000031003
HGNC:13352	MAP1LC3B	ATG8F	Q9GZQ8	609604	81631	ENSG00000140941
HGNC:13353	MAP1LC3C	ATG8J	Q9BXW4	609605	440738	ENSG00000197769
HGNC:13356	MCOLN1	TRPML1, ML4, MLIV, MST080, MSTP080, TRPM-L1	Q9GZU1	605248	57192	ENSG00000090674
HGNC:13357	MCOLN2	TRPML2, FLJ36691, TRP-ML2	Q8IZK6	607399	255231	ENSG00000153898
HGNC:13358	MCOLN3	TRPML3, FLJ11006, TRP-ML3	Q8TDD5	607400	55283	ENSG00000055732
HGNC:1336	FAM53C		Q9NYF3	609372	51307	ENSG00000120709
HGNC:13361	MEPE		Q9NQ76	605912	56955	ENSG00000152595
HGNC:13363	MIXL1	MILD1, MIXL	Q9H2W2	609852	83881	ENSG00000185155
HGNC:13366	MRT2A					
HGNC:13367	MRX71					
HGNC:13368	MS4A10	CD20L7, MS4A9	Q96PG2	608403	341116	ENSG00000172689
HGNC:1337	KDM3B	KIAA1082, NET22	Q7LBC6	609373	51780	ENSG00000120733
HGNC:13370	MS4A12	Ms4a10, FLJ20217	Q9NXJ0	606550	54860	ENSG00000071203
HGNC:13371	MS4A4A	CD20L1, MS4A7	Q96JQ5	606547	51338	ENSG00000110079
HGNC:13374	MS4A5	CD20L2	Q9H3V2	606499	64232	ENSG00000166930
HGNC:13375	MS4A6A	CD20L3	Q9H2W1	606548	64231	ENSG00000110077
HGNC:13378	MS4A7	CD20L4, CFFM4, MS4A8	Q9GZW8	606502	58475	ENSG00000166927
HGNC:1338	C5AR1	C5A, C5AR, CD88	P21730	113995	728	ENSG00000197405
HGNC:13380	MS4A8	MS4A4, CD20L5	Q9BY19	606549	83661	ENSG00000166959
HGNC:13384	MUC3B		Q9H195	605633	57876	
HGNC:13386	NEK7		Q8TDX7	606848	140609	ENSG00000151414
HGNC:13387	NEK8	NPHP9	Q86SG6	609799	284086	ENSG00000160602
HGNC:13388	BEX3	HGR74, Bex, NADE, DXS6984E	Q00994	300361	27018	ENSG00000166681
HGNC:13389	NID2		Q14112	605399	22795	ENSG00000087303
HGNC:1339	C6		P13671	217050	729	ENSG00000039537
HGNC:13390	NIF3L1	CALS-7, MDS015	Q9GZT8	605778	60491	ENSG00000196290
HGNC:13392	NPCDR1	NPCR				
HGNC:13394	NPHS2	SRN1, PDCN	Q9NP85	604766	7827	ENSG00000116218
HGNC:13395	NAPSA	NAP1, NAPA, Kdap, KAP	O96009	605631	9476	ENSG00000131400
HGNC:13396	NAPSB	NAP1L, NAP2, NAPB, NAPSBP			256236	ENSG00000131401
HGNC:13397	CYB5R1	humb5R2	Q9UHQ9	608341	51706	ENSG00000159348
HGNC:13398	NSDHL	XAP104, H105e3, SDR31E1	Q15738	300275	50814	ENSG00000147383
HGNC:13399	ONECUT3		O60422	611294	390874	ENSG00000205922
HGNC:134	ACTBP1				643309	ENSG00000229145
HGNC:1340	SMIM29	LBH, MGC57858	Q86T20	611419	221491	ENSG00000186577
HGNC:13403	PBX4		Q9BYU1	608127	80714	ENSG00000105717
HGNC:13404	PCDH10	OL-PCDH, KIAA1400	Q9P2E7	608286	57575	ENSG00000138650
HGNC:13406	PCLO	KIAA0559, DKFZp779G1236, ACZ	Q9Y6V0	604918	27445	ENSG00000186472
HGNC:13407	PCPH					
HGNC:13408	PDCD11	KIAA0185, ALG-4, RRP5, NFBP	Q14690	612333	22984	ENSG00000148843
HGNC:13409	PFM2					
HGNC:1341	C6orf2					
HGNC:13410	TSPAN32		Q96QS1	603853	10077	ENSG00000064201
HGNC:13411	PHTF2	DKFZp434D166	Q8N3S3	616785	57157	ENSG00000006576
HGNC:13413	PKP2P1				82500	
HGNC:13414	PLA2G2E		Q9NZK7	618320	30814	ENSG00000188784
HGNC:13415	PNCK	MGC45419, CaMK1b	Q6P2M8	300680	139728	ENSG00000130822
HGNC:13417	PPP2R3B	PPP2R3LY, PR48, PR70	Q9Y5P8	300339	28227	ENSG00000167393
HGNC:13419	PRSS18	Bssp, AI849898, Klk7, neurosin, Klk6				
HGNC:1342	TRAF3IP2-AS2	C6UAS				
HGNC:13420	PRUNE1	DRES-17, HTCD37, H-PRUNE	Q86TP1	617413	58497	ENSG00000143363
HGNC:13421	PTPRVP	OST-PTP, ESP			148713	ENSG00000243323
HGNC:13422	PTTG3P		Q9NZH4		26255	ENSG00000213005
HGNC:13423	PWCR1	PET1				
HGNC:13426	RBM8B				112846	ENSG00000258427
HGNC:13427	RBMS3		Q6XE24	605786	27303	ENSG00000144642
HGNC:13429	RLIM	NY-REN-43, MGC15161	Q9NVW2	300379	51132	ENSG00000131263
HGNC:1343	TRAF3IP2	DKFZP586G0522, ACT1, CIKS	O43734	607043	10758	ENSG00000056972
HGNC:13430	TRIM17	terf, RBCC	Q9Y577	606123	51127	ENSG00000162931
HGNC:13431	TRIM49	TRIM49A	P0CI25	606124	57093	ENSG00000168930
HGNC:13432	RNF19A	dorfin, DKFZp566B1346	Q9NV58	607119	25897	ENSG00000034677
HGNC:13433	ROBO3	RBIG1, FLJ21044, HGPS	Q96MS0	608630	64221	ENSG00000154134
HGNC:13434	RP21	RPD1				
HGNC:13436	RPGRIP1	RGI1, LCA6, CORD13	Q96KN7	605446	57096	ENSG00000092200
HGNC:13437	RSPH14		Q9UHP6	605663	27156	ENSG00000100218
HGNC:13439	SCA15					
HGNC:1344	C6orf5					
HGNC:13440	SCA9					
HGNC:13441	SCUBE1		Q8IWY4	611746	80274	ENSG00000159307
HGNC:13443	SIAT7B	SThM				
HGNC:13444	SLC2A10	GLUT10	O95528	606145	81031	ENSG00000197496
HGNC:13445	SLC2A7	GLUT7	Q6PXP3	610371	155184	ENSG00000197241
HGNC:13446	SLC2A9	Glut9, GLUTX, URATv1	Q9NRM0	606142	56606	ENSG00000109667
HGNC:13447	SLC38A1	ATA1, NAT2, SAT1	Q9H2H9	608490	81539	ENSG00000111371
HGNC:13448	SLC38A2	SAT2, ATA2, KIAA1382, SNAT2	Q96QD8	605180	54407	ENSG00000134294
HGNC:13449	SLITRK2	KIAA1854, CXorf2	Q9H156	300561	84631	ENSG00000185985
HGNC:1345	C6orf6					
HGNC:13450	BANP	SMARBP1, SMAR1, FLJ20538, DKFZp761H172, FLJ10177, BEND1	Q8N9N5	611564	54971	ENSG00000172530
HGNC:13452	SPAG5	DEEPEST, MAP126, hMAP126	Q96R06	615562	10615	ENSG00000076382
HGNC:1346	C7		P10643	217070	730	ENSG00000112936
HGNC:13462	STRM					
HGNC:13463	TCL6	TCL6e1, TNG2, TNG1		604412	27004	ENSG00000187621
HGNC:13464	SERINC1	TMS-2, TDE1L, KIAA1253	Q9NRX5	614548	57515	ENSG00000111897
HGNC:13465	TFNR					
HGNC:13466	TGCT1					
HGNC:13469	TNFRSF21	DR6, CD358	O75509	605732	27242	ENSG00000146072
HGNC:1347	C7orf1					
HGNC:13472	TNFSF20					
HGNC:13473	TP73L	KET, p73H, p51, SHFM4, EEC3, p63, p73L, OFC8				
HGNC:13476	TTYH1		Q9H313	605784	57348	ENSG00000167614
HGNC:13477	UBE2L5		A0A1B0GUS4		171222	ENSG00000236444
HGNC:13478	UBE3B		Q7Z3V4	608047	89910	ENSG00000151148
HGNC:13479	UGT2B28		Q9BY64	606497	54490	ENSG00000135226
HGNC:1348	SAMD9	KIAA2004, FLJ20073	Q5K651	610456	54809	ENSG00000205413
HGNC:13480	ULK2	KIAA0623, Unc51.2, ATG1B	Q8IYT8	608650	9706	ENSG00000083290
HGNC:13481	UNC93B1	UNC93	Q9H1C4	608204	81622	ENSG00000110057
HGNC:13482	UNC93B2	UNC93B2P			641922	ENSG00000155070
HGNC:13483	UNC93B3	UNC93B3P			285296	ENSG00000172971
HGNC:13484	UNC93B4				643384	ENSG00000250381
HGNC:13485	USP26		Q9BXU7	300309	83844	ENSG00000134588
HGNC:13486	USP27X	USP27	A6NNY8	300975	389856	ENSG00000273820
HGNC:13487	VPS35	FLJ10752, MEM3, PARK17	Q96QK1	601501	55737	ENSG00000069329
HGNC:13488	VPS4A	VPS4, VPS4-1, FLJ22197, SKD2, SKD1, SKD1A	Q9UN37	609982	27183	ENSG00000132612
HGNC:1349	SAMD9L	KIAA2005, FLJ39885	Q8IVG5	611170	219285	ENSG00000177409
HGNC:13490	WDR7	KIAA0541, TRAG	Q9Y4E6	613473	23335	ENSG00000091157
HGNC:13495	FAM78B		Q5VT40		149297	ENSG00000188859
HGNC:13496	ZFP93					
HGNC:13497	ZNF253	BMZF-1, FLJ90391	O75346	606954	56242	ENSG00000256771
HGNC:13498	ZNF257	BMZF-4	Q9Y2Q1	606957	113835	ENSG00000197134
HGNC:13499	ZNF260	ozrf1, Zfp260	Q3ZCT1	613749	339324	ENSG00000254004
HGNC:135	ACTBP2				62	ENSG00000213763
HGNC:1350	ASZ1	Orf3, GASZ, ALP1, CT1.19	Q8WWH4	605797	136991	ENSG00000154438
HGNC:13501	ZNF286A	KIAA1874	Q9HBT8		57335	ENSG00000187607
HGNC:13502	ZNF287	ZKSCAN13, ZSCAN45	Q9HBT7		57336	ENSG00000141040
HGNC:13503	ZBTB20	ODA-8S, DKFZp566F123, DPZF	Q9HC78	606025	26137	ENSG00000181722
HGNC:13504	ARFGAP2	IRZ, Zfp289, FLJ14576	Q8N6H7	606908	84364	ENSG00000149182
HGNC:13505	ZNF304		Q9HCX3	613840	57343	ENSG00000131845
HGNC:13506	FEZF2	FLJ10142, FKSG36, TOF, FEZL, Zfp312	Q8TBJ5	607414	55079	ENSG00000153266
HGNC:13507	ZNF317		Q96PQ6	613864	57693	ENSG00000130803
HGNC:13508	BPY2	BPY2A, VCY2A	O14599	400013	9083	ENSG00000183753
HGNC:13509	AVEN	PDCD12	Q9NQS1	605265	57099	ENSG00000169857
HGNC:1351	C7orf8	Orf4				
HGNC:13511	API1					
HGNC:13512	API2					
HGNC:13513	API3					
HGNC:13514	API4					
HGNC:13516	BIRC6	BRUCE	Q9NR09	605638	57448	ENSG00000115760
HGNC:13517	CLIC5	DFNB102	Q9NZA1	607293	53405	ENSG00000112782
HGNC:13518	CLIC4	DKFZP566G223, CLIC4L, P64H1, H1, huH1, p64H1	Q9Y696	606536	25932	ENSG00000169504
HGNC:13519	TLNRD1	MGC99595	Q9H1K6	615466	59274	ENSG00000140406
HGNC:1352	C8A		P07357	120950	731	ENSG00000157131
HGNC:13520	MESD	KIAA0081, BOCA	Q14696	607783	23184	ENSG00000117899
HGNC:13522	CTAG					
HGNC:13523	CLEC4M	HP10347, DC-SIGNR, LSIGN, DCSIGNR, DC-SIGN2	Q9H2X3	605872	10332	ENSG00000104938
HGNC:13524	PTTG1IP	PBF	P53801	603784	754	ENSG00000183255
HGNC:13525	ERVW-1	HERV-W, HERV-W-ENV, HERVW, HERV-7q, envW	Q9UQF0	604659	30816	ENSG00000242950
HGNC:13526	VPS9D1	ATP-BL	Q9Y2B5		9605	ENSG00000075399
HGNC:13527	ATP6V1D	VATD, VMA8	Q9Y5K8	609398	51382	ENSG00000100554
HGNC:13528	B3GNT3	B3GN-T3, beta3Gn-T3, HP10328, B3GNT-3	Q9Y2A9	605863	10331	ENSG00000179913
HGNC:13529	CNPY2	HP10390, ZSIG9	Q9Y2B0	605861	10330	ENSG00000257727
HGNC:1353	C8B		P07358	120960	732	ENSG00000021852
HGNC:13530	RXYLT1	HP10481	Q9Y2B1	605862	10329	ENSG00000118600
HGNC:13531	ATP8A1	ATPIA	Q9Y2Q0	609542	10396	ENSG00000124406
HGNC:13532	TLX3	RNX	O43711	604640	30012	ENSG00000164438
HGNC:13533	ATP8A2	ATPIB, ML-1	Q9NTI2	605870	51761	ENSG00000132932
HGNC:13534	ATP8B2	ATPID, KIAA1137	P98198	605867	57198	ENSG00000143515
HGNC:13535	ATP8B3	ATPIK	O60423	605866	148229	ENSG00000130270
HGNC:13536	ATP8B4	ATPIM, KIAA1939	Q8TF62	609123	79895	ENSG00000104043
HGNC:13538	MARK4	Nbla00650, FLJ90097, KIAA1860, PAR-1D	Q96L34	606495	57787	ENSG00000007047
HGNC:13539	AGTRAP	ATRAP	Q6RW13	608729	57085	ENSG00000177674
HGNC:1354	C8G		P07360	120930	733	ENSG00000176919
HGNC:13540	ATP9A	KIAA0611, ATPIIA	O75110	609126	10079	ENSG00000054793
HGNC:13541	ATP9B	ATPIIB	O43861	614446	374868	ENSG00000166377
HGNC:13542	ATP10A	ATPVA, ATPVC, KIAA0566	O60312	605855	57194	ENSG00000206190
HGNC:13543	ATP10B	ATPVB, KIAA0715, FLJ21477	O94823		23120	ENSG00000118322
HGNC:13544	CHRAC1	CHRAC15, YCL1	Q9NRG0	607268	54108	ENSG00000104472
HGNC:13546	POLE3	CHRAC17, Ybl1, p17, CHARAC17, CHRAC2	Q9NRF9	607267	54107	ENSG00000148229
HGNC:13547	ATP10C					
HGNC:13548	VN1R1	V1RL1, ZVNR1, ZVNH1	Q9GZP7	605234	57191	ENSG00000178201
HGNC:13549	ATP10D	ATPVD, KIAA1487	Q9P241		57205	ENSG00000145246
HGNC:1355	OSGIN2	hT41	Q9Y236	604598	734	ENSG00000164823
HGNC:13550	VN1R10P	hs6V1-1p, b24o18.2			387316	ENSG00000220758
HGNC:13551	VN1R11P	dJ86C11.7, hs6V1-2p, VNR6I2P			387317	ENSG00000219770
HGNC:13552	ATP11A	ATPIH, ATPIS, KIAA1021	P98196	605868	23250	ENSG00000068650
HGNC:13553	ATP11B	ATPIF, ATPIR, KIAA0956	Q9Y2G3	605869	23200	ENSG00000058063
HGNC:13554	ATP11C	ATPIG, ATPIQ	Q8NB49	300516	286410	ENSG00000101974
HGNC:13556	IFT122	WDR140, WDR10p, SPG, FAP80	Q9HBG6	606045	55764	ENSG00000163913
HGNC:13557	ACE2		Q9BYF1	300335	59272	ENSG00000130234
HGNC:13558	DCP1					
HGNC:1356	ERLIN2	NET32, Erlin-2	O94905	611605	11160	ENSG00000147475
HGNC:13560	C21orf64	B19				
HGNC:13561	HIVEP3	KRC, KBP1, KBP-1, SHN3, FLJ16752, KIAA1555, ZAS3, Schnurri-3, ZNF40C	Q5T1R4	606649	59269	ENSG00000127124
HGNC:13564	SPOCK2	KIAA0275, testican-2	Q92563	607988	9806	ENSG00000107742
HGNC:13565	SPOCK3	testican-3	Q9BQ16	607989	50859	ENSG00000196104
HGNC:13567	GOLGA6A	GLP	Q9NYA3	610288	342096	ENSG00000159289
HGNC:13568	PGPEP1	PGP-I, Pcp, PGP, PGPI	Q9NXJ5	610694	54858	ENSG00000130517
HGNC:1357	TCIM	TC-1, hTC-1, TC1	Q9NR00	607702	56892	ENSG00000176907
HGNC:13571	FIC1					
HGNC:13572	FCGBP	FC(GAMMA)BP	Q9Y6R7	617553	8857	ENSG00000275395
HGNC:13574	MAGEC2	CT10, MAGE-C2, HCA587	Q9UBF1	300468	51438	ENSG00000046774
HGNC:13575	BRD4	HUNKI, MCAP, CAP, HUNK1	O60885	608749	23476	ENSG00000141867
